id,title,field_model,field_resource_type,field_display_hints,field_member_of,field_edtf_date_created,field_subject,field_rights,field_description_long,file,field_related_item_boolean,field_related_item_type,field_related_item_title,field_identifier,field_linked_agent
11,Bridge over Schuylkill River,Image,Still Image,Open Seadragon,2083,7/22/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Double-barreled bridge over the Schuylkill River at Douglassville, Berks County, Pennsylvania. </p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_249.jpg,1,host,MS 80 Nelson F. Davis Collection,3955779,relators:pht:472^|.|^relators:pbl:471
12,Bridge over Schuylkill River,Image,Still Image,Open Seadragon,2083,7/22/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Double-barreled bridge over the Schuylkill River at Douglassville, Berks County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_250.jpg,1,host,MS 80 Nelson F. Davis Collection,3955780,relators:pht:472^|.|^relators:pbl:471
13,Bridge over Schuylkill River,Image,Still Image,Open Seadragon,2083,7/22/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Double-barreled bridge over the Schuylkill River at Douglassville, Berks County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_251.jpg,1,host,MS 80 Nelson F. Davis Collection,3955781,relators:pht:472^|.|^relators:pbl:471
14,Black Bridge,Image,Still Image,Open Seadragon,2083,7/22/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Black Bridge, also known as Bridge 86 or Pine Valley Bridge,  near New Britain, Bucks County, Pennsylvania. A lattice-type bridge 30 paces long over Pine Run on the road from New Britain to Pine Hill. The bridge was built in 1842.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_252.jpg,1,host,MS 80 Nelson F. Davis Collection,3955782,relators:pht:472^|.|^relators:pbl:471
15,Bridge 177,Image,Still Image,Open Seadragon,2083,7/22/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge 177 over Deep Run Creek on the road from Bedminster to Pipersville, Bucks County, Pennsylvania. This is a single-span lattice type bridge.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_253.jpg,1,host,MS 80 Nelson F. Davis Collection,3955783,relators:pht:472^|.|^relators:pbl:471
16,Bridge 57,Image,Still Image,Open Seadragon,2083,7/22/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge 57 locally known as Loux's Covered Bridge. A single-span, lattice-type bridge over Cabin Run, Bucks County, Pennsylvania, on the road from Pipersville to Wismer.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_254.jpg,1,host,MS 80 Nelson F. Davis Collection,3955784,relators:pht:472^|.|^relators:pbl:471
17,Cabin Run Covered Bridge 268,Image,Still Image,Open Seadragon,2083,7/22/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Cabin Run Covered Bridge 268. A single span over Cabin Run near Smith Corners on the road from Point Pleasant to Myers Mill, Bucks County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_255.jpg,1,host,MS 80 Nelson F. Davis Collection,3955785,relators:pht:472^|.|^relators:pbl:471
18,Lumberville-Raven Rock Bridge,Image,Still Image,Open Seadragon,2083,7/22/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Lumberville-Raven Rock Bridge. Interstate bridge over the Delaware River from Lumberville, Bucks County, Pennsylvania, to Raven Rock, Hunterdon County, New Jersey. The 5-span wooden bridge was built in 1850. The iron span was constructed in 1904.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_256.jpg,1,host,MS 80 Nelson F. Davis Collection,3955786,relators:pht:472^|.|^relators:pbl:471
19,Lumberville-Raven Rock Bridge,Image,Still Image,Open Seadragon,2083,7/22/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Interior view of Lumberville-Raven Rock Bridge over the Delaware River. This view of the wooden span on the Pennsylvania end reveals a combination of arch and lattice construction.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_257.jpg,1,host,MS 80 Nelson F. Davis Collection,3955787,relators:pht:472^|.|^relators:pbl:471
20,Lumberville-Raven Rock Bridge,Image,Still Image,Open Seadragon,2083,7/22/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Pennsylvania entrance into the Lumberville-Raven Rock Bridge over the Delaware River. This bridge was declared no toll on July 21, 1932. The old toll-gate and the toll-house are on the right in the photograph.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_258.jpg,1,host,MS 80 Nelson F. Davis Collection,3955788,relators:pht:472^|.|^relators:pbl:471
21,Bridge over Wickecheoke Creek,Image,Still Image,Open Seadragon,2083,7/22/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge over Wickecheoke Creek in Delaware Township, Hunterdon County, New Jersey. This span is 29 paces long and is located near Sergeantsville, New Jersey.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_259.jpg,1,host,MS 80 Nelson F. Davis Collection,3955789,relators:pht:472^|.|^relators:pbl:471
22,Bridge 73,Image,Still Image,Open Seadragon,2083,7/22/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge 73 or ""Vansant's Covered Bridge"" over Pidcock Creek, Bucks County, Pennsylvania. This is a single span, lattice-type bridge on Windybush Road in the direction of Largon Road.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_260.jpg,1,host,MS 80 Nelson F. Davis Collection,3955790,relators:pht:472^|.|^relators:pbl:471
23,Bridge 309,Image,Still Image,Open Seadragon,2083,7/23/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge 309 or Aqueduct Bridge over Hughs Creek on the road from Taylorville to Yardley, Bucks County, Pennsylvania. A one-span bridge.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_261.jpg,1,host,MS 80 Nelson F. Davis Collection,3955791,relators:pht:472^|.|^relators:pbl:471
24,Bridge 121,Image,Still Image,Open Seadragon,2083,7/23/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge 121 or Worthington's Hill Bridge,  a two-span bridge over Neshaminy Creek on the road from Wrightstown to Richboro, Bucks County, Pennsylvania. Built in 1874.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_262.jpg,1,host,MS 80 Nelson F. Davis Collection,3955792,relators:pht:472^|.|^relators:pbl:471
25,Bridge 118,Image,Still Image,Open Seadragon,2083,7/23/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge 118 or Spring Garden Bridge over Neshaminy Creek on the road from Newton to Richboro, Bucks County, Pennsylvania. A two-span, arched truss structure.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_263.jpg,1,host,MS 80 Nelson F. Davis Collection,3955793,relators:pht:472^|.|^relators:pbl:471
26,Bridge 120,Image,Still Image,Open Seadragon,2083,7/23/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge 120 or Twinings Covered Bridge over Neshaminy Creek on the road from Swamp Road to Richboro, Bucks County, Pennsylvania. This bridge is  a two span bridge with lattice and arch type construction. It is located on the private grounds of Neshaminy Farms. </p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_264.jpg,1,host,MS 80 Nelson F. Davis Collection,3955794,relators:pht:472^|.|^relators:pbl:471
27,Bridge 112,Image,Still Image,Open Seadragon,2083,7/23/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge 112 over Mill Creek near Richboro on Bridgeton Pike, Rockville, Bucks County, Pennsylvania, with single span, arch and truss-type construction.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_265.jpg,1,host,MS 80 Nelson F. Davis Collection,3955795,relators:pht:472^|.|^relators:pbl:471
28,Bridge over Swatara Creek ,Image,Still Image,Open Seadragon,2083,7/23/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge over Swatara Creek two miles south of Highway 422 in Dauphin County, Pennsylvania with arch and truss-type construction. </p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_266.jpg,1,host,MS 80 Nelson F. Davis Collection,3955796,relators:pht:472^|.|^relators:pbl:471
29,Thomas Mill Road Bridge,Image,Still Image,Open Seadragon,2083,9/5/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Interior of the Thomas Mill Road Bridge near the Wissahickon Creek. This is the only covered bridge on record in the City and County of Philadelphia, Pennsylvania. </p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_267.jpg,1,host,MS 80 Nelson F. Davis Collection,3955797,relators:pht:472^|.|^relators:pbl:471
30,Thomas Mill Road Bridge,Image,Still Image,Open Seadragon,2083,9/5/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Exterior of the Thomas Mill Road Bridge over the Wissahickon Creek.  This is the only covered bridge on record in the City and County of Philadelphia, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_268.jpg,1,host,MS 80 Nelson F. Davis Collection,3955798,relators:pht:472^|.|^relators:pbl:471
31,Dellville Bridge,Image,Still Image,Open Seadragon,2083,10/25/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Dellville Bridge over Sherman Creek, Perry County, Pennsylvania. </p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_197.jpg,1,host,MS 80 Nelson F. Davis Collection,3955727,relators:pht:472^|.|^relators:pbl:471
32,Dellville Bridge,Image,Still Image,Open Seadragon,2083,10/25/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Interior of Dellville Bridge over Sherman Creek, Perry County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_198.jpg,1,host,MS 80 Nelson F. Davis Collection,3955728,relators:pht:472^|.|^relators:pbl:471
33,Shermansdale Bridge,Image,Still Image,Open Seadragon,2083,10/25/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Shermansdale Bridge over Sherman Creek, Perry County, Pennsylvania. </p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_199.jpg,1,host,MS 80 Nelson F. Davis Collection,3955729,relators:pht:472^|.|^relators:pbl:471
34,Bridge over Sherman Creek,Image,Still Image,Open Seadragon,2083,10/28/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge over Sherman Creek, Bridgeport, Perry County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_200.jpg,1,host,MS 80 Nelson F. Davis Collection,3955730,relators:pht:472^|.|^relators:pbl:471
35,Bridge over Sherman Creek,Image,Still Image,Open Seadragon,2083,10/28/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge over Sherman Creek near Landisburg, Perry County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_201.jpg,1,host,MS 80 Nelson F. Davis Collection,3955731,relators:pht:472^|.|^relators:pbl:471
36,Bridge over Sherman Creek,Image,Still Image,Open Seadragon,2083,10/28/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Interior of bridge over Sherman Creek at Landisburg, Perry County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_202.jpg,1,host,MS 80 Nelson F. Davis Collection,3955732,relators:pht:472^|.|^relators:pbl:471
37,Bridge over Sherman Creek,Image,Still Image,Open Seadragon,2083,10/28/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge over Sherman Creek near Loysville, Perry County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_203.jpg,1,host,MS 80 Nelson F. Davis Collection,3955733,relators:pht:472^|.|^relators:pbl:471
38,Bridge over Sherman Creek,Image,Still Image,Open Seadragon,2083,10/28/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Interior of bridge near Loysville, Perry County, Pennsylvania with two spans over Sherman Creek.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_204.jpg,1,host,MS 80 Nelson F. Davis Collection,3955734,relators:pht:472^|.|^relators:pbl:471
39,Bridge over Bixler's Run,Image,Still Image,Open Seadragon,2083,10/28/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge over Bixler's Run near Loysville, Perry County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_205.jpg,1,host,MS 80 Nelson F. Davis Collection,3955735,relators:pht:472^|.|^relators:pbl:471
40,Bridge over Bixler's Run,Image,Still Image,Open Seadragon,2083,10/28/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge over Bixler's Run near Old Center Church, Perry County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_206.jpg,1,host,MS 80 Nelson F. Davis Collection,3955736,relators:pht:472^|.|^relators:pbl:471
41,Roy Moose Mill Bridge,Image,Still Image,Open Seadragon,2083,10/28/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Roy Moose Mill Bridge over Sherman Creek west of Loysville, Perry County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_207.jpg,1,host,MS 80 Nelson F. Davis Collection,3955737,relators:pht:472^|.|^relators:pbl:471
42,Ross Rasinger's Mill Bridge,Image,Still Image,Open Seadragon,2083,10/28/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge at Ross Rasinger's Mill over Sherman Creek near Loysville, Perry County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_208.jpg,1,host,MS 80 Nelson F. Davis Collection,3955738,relators:pht:472^|.|^relators:pbl:471
43,Fleckner Farm Bridge,Image,Still Image,Open Seadragon,2083,10/28/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge at Fleckner Farm over Sherman creek west of Loysville, Perry County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_209.jpg,1,host,MS 80 Nelson F. Davis Collection,3955739,relators:pht:472^|.|^relators:pbl:471
44,Manassa Bridge,Image,Still Image,Open Seadragon,2083,10/28/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Manassa Bridge over Huston Creek west of Loysville, Perry County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_210.jpg,1,host,MS 80 Nelson F. Davis Collection,3955740,relators:pht:472^|.|^relators:pbl:471
45,Bridge at Blaine,Image,Still Image,Open Seadragon,2083,10/28/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge at Blain over Sherman Creek, Perry County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_211.jpg,1,host,MS 80 Nelson F. Davis Collection,3955741,relators:pht:472^|.|^relators:pbl:471
46,Reeder's Bridge,Image,Still Image,Open Seadragon,2083,10/28/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Reeder's Bridge over Sherman Creek, west of Blain, Perry County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_212.jpg,1,host,MS 80 Nelson F. Davis Collection,3955742,relators:pht:472^|.|^relators:pbl:471
47,Bridge over Sherman Creek,Image,Still Image,Open Seadragon,2083,10/28/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge over Sherman Creek west of Blain, Perry County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_213.jpg,1,host,MS 80 Nelson F. Davis Collection,3955743,relators:pht:472^|.|^relators:pbl:471
48,Bridge at New Germantown,Image,Still Image,Open Seadragon,2083,10/28/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge at New Germantown over Sherman Creek, Perry County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_214.jpg,1,host,MS 80 Nelson F. Davis Collection,3955744,relators:pht:472^|.|^relators:pbl:471
49,Bridge over Big Buffalo Creek,Image,Still Image,Open Seadragon,2083,10/31/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Replacing the old covered bridge over Big Buffalo Creek west of Newport, Perry County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_215.jpg,1,host,MS 80 Nelson F. Davis Collection,3955745,relators:pht:472^|.|^relators:pbl:471
50,Bridge at Swartz Farm,Image,Still Image,Open Seadragon,2083,10/31/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge at Swartz Farm over Big Buffalo Creek near Saville, Perry County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_216.jpg,1,host,MS 80 Nelson F. Davis Collection,3955746,relators:pht:472^|.|^relators:pbl:471
